episode,reward
0,-0.1945
50,-0.025
100,-0.1005
150,-0.076
200,-0.093
250,-0.0995
300,-0.0365
350,-0.049
400,-0.061
450,-0.139
500,-0.1025
550,-0.1065
600,-0.0805
650,-0.0295
700,-0.115
750,-0.18
800,-0.025
850,-0.0095
900,-0.024
950,-0.07
1000,-0.001
1050,-0.084
1100,-0.171
1150,0.048
1200,-0.011
1250,-0.1025
1300,-0.1205
1350,0.0055
1400,-0.0125
1450,-0.1925
1500,1.1275
1550,1.592
1600,1.271
1650,1.335
1700,1.7465
1750,1.5145
1800,1.499
1850,1.31
1900,1.402
1950,1.588
2000,1.399
2050,1.56
2100,1.587
2150,1.573
2200,1.6495
2250,1.4775
2300,1.636
2350,1.284
2400,1.5265
2450,1.529
2500,1.6245
2550,1.6695
2600,1.4775
2650,1.3735
2700,1.617
2750,1.4225
2800,1.329
2850,1.5855
2900,1.5685
2950,1.7385
3000,1.4985
3050,1.5085
3100,1.726
3150,1.671
3200,1.835
3250,1.63
3300,1.2005
3350,1.7295
3400,1.461
3450,1.6355
3500,1.955
3550,1.722
3600,1.6175
3650,1.4135
3700,1.4515
3750,1.42
3800,1.355
3850,1.4075
3900,1.5435
3950,1.3595
4000,1.2625
4050,1.3975
4100,1.418
4150,1.456
4200,1.423
4250,1.515
4300,1.527
4350,1.286
4400,1.656
4450,1.6285
4500,1.5125
4550,1.6975
4600,1.319
4650,1.262
4700,1.598
4750,1.33
4800,1.6025
4850,1.6855
4900,1.3545
4950,1.3895
