episode,reward
0,-0.95
1,-0.8
2,-1.95
3,-1.05
4,-0.8
5,-0.75
6,-0.8
7,-1.2
8,-1.0
9,-0.6
10,-1.1
11,-1.25
12,-0.55
13,-0.6
14,7.4
15,-0.55
16,-0.35
17,-0.85
18,-1.0
19,-0.9
20,-0.3
21,-1.35
22,-1.25
23,-0.35
24,-0.5
25,-1.5
26,-1.2
27,-1.65
28,-1.05
29,-1.2
30,-0.6
31,-1.05
32,-0.9
33,-0.4
34,-1.8
35,-0.5
36,-0.6
37,-0.3
38,-1.15
39,-0.7
40,-0.95
41,-0.6
42,-0.8
43,-0.5
44,-0.55
45,2.55
46,0.75
47,-4.95
48,0.75
49,0.7
50,-1.05
51,-3.15
52,-3.15
53,-3.4
54,-2.7
55,0.45
56,-2.5
57,2.9
58,-3.6
59,2.85
60,0.75
61,-0.3
62,0.15
63,-1.1
64,-2.7
65,-3.65
66,0.75
67,-3.1
68,-0.8
69,-2.3
70,-2.05
71,-1.2
72,0.15
73,-2.25
74,-3.4
75,-1.6
76,-3.25
77,-1.2
78,-3.8
79,0.75
80,0.5
81,-3.35
82,-5.2
83,0.45
84,0.2
85,-1.0
86,-3.8
87,-4.4
88,-0.8
89,-3.95
90,-2.3
91,-2.05
92,-3.0
93,-4.55
94,-1.6
95,-2.65
96,-3.35
97,-2.9
98,-3.45
99,-0.05
100,0.35
101,1.15
102,-2.5
103,-0.6
104,-0.5
105,0.0
106,-3.45
107,-6.5
108,-4.2
109,-2.2
110,-4.7
111,-3.35
112,-3.3
113,-2.15
114,-3.7
115,-1.25
116,-5.6
117,-2.2
118,-2.2
119,3.85
120,-3.65
121,-3.85
122,-3.95
123,0.45
124,-3.0
125,-4.7
126,-1.5
127,-0.5
128,-0.9
129,-2.6
130,0.35
131,4.0
132,1.05
133,-5.5
134,2.45
135,-3.9
136,0.45
137,-0.2
138,-2.2
139,-2.8
140,-6.45
141,-2.1
142,1.5
143,-2.8
144,-1.05
145,2.1
146,0.95
147,-3.45
148,-0.15
149,1.6
150,-2.85
151,-1.0
152,-1.35
153,-1.4
154,-3.7
155,-5.4
156,-0.15
157,-1.6
158,-3.95
159,-4.3
160,-0.75
161,-1.85
162,-2.9
163,-4.0
164,-5.7
165,-5.7
166,-4.0
167,-0.05
168,-5.4
169,-2.3
170,-4.7
171,1.6
172,-6.5
173,0.5
174,-5.7
175,-4.4
176,9.1
177,-2.0
178,-5.05
179,-1.7
180,2.2
181,-4.65
182,1.15
183,-3.8
184,0.8
185,-2.1
186,-4.8
187,-0.6
188,2.3
189,-0.35
190,-2.1
191,-3.3
192,-5.0
193,-10.55
194,3.15
195,-3.7
196,-3.85
197,-2.3
198,-2.15
199,-5.75
200,-2.9
201,-4.05
202,-1.4
203,-3.4
204,3.7
205,-5.8
206,-1.35
207,-5.65
208,-0.65
209,-2.45
210,-2.7
211,-1.95
212,-3.05
213,1.0
214,-0.4
215,-3.4
216,-2.35
217,0.85
218,-0.3
219,-4.6
220,5.55
221,2.8
222,-1.95
223,-6.2
224,-6.7
225,-3.3
226,-6.85
227,-4.25
228,-3.5
229,-4.75
230,-1.8
231,-6.2
232,-6.5
233,0.2
234,-6.5
235,-1.75
236,-2.85
237,3.2
238,-4.35
239,-4.85
240,0.85
241,-4.4
242,4.55
243,-2.25
244,-3.2
245,-3.5
246,-4.0
247,-4.9
248,0.7
249,-2.1
250,-6.95
251,-6.45
252,-1.65
253,-0.1
254,0.0
255,-5.75
256,-5.25
257,2.45
258,-7.8
259,2.9
260,1.95
261,-3.45
262,-7.0
263,-6.5
264,0.0
265,0.95
266,-4.4
267,-1.9
268,-3.0
269,-5.45
270,-0.5
271,-6.8
272,0.35
273,-4.05
274,-0.65
275,-2.45
276,7.4
277,-3.9
278,-5.2
279,-3.35
280,-1.85
281,-2.15
282,-2.4
283,4.65
284,2.3
285,-1.85
286,-2.95
287,-0.05
288,-2.9
289,1.25
290,-5.55
291,-0.05
292,0.95
293,1.5
294,-1.25
295,0.0
296,-7.15
297,-3.75
298,1.15
299,3.1
300,4.75
301,-1.0
302,2.2
303,0.05
304,-0.8
305,2.05
306,-3.1
307,2.85
308,-6.1
309,-7.15
310,-5.9
311,-7.5
312,2.1
313,2.9
314,-3.6
315,3.55
316,-0.7
317,1.75
318,-3.3
319,-4.85
320,0.75
321,-4.5
322,6.7
323,2.25
324,-1.25
325,-1.4
326,-3.1
327,1.6
328,-3.95
329,5.5
330,3.45
331,-1.95
332,-5.2
333,-6.9
334,3.85
335,-4.7
336,2.8
337,3.8
338,-1.35
339,-6.15
340,0.95
341,-0.5
342,-3.35
343,-0.1
344,-3.55
345,-4.9
346,-9.0
347,1.6
348,-3.4
349,0.45
350,-6.55
351,-7.35
352,-0.6
353,4.05
354,2.25
355,6.8
356,2.0
357,-5.75
358,-0.05
359,-1.9
360,1.9
361,3.15
362,1.5
363,-4.3
364,-1.45
365,7.15
366,-0.5
367,-2.3
368,-4.3
369,-8.45
370,0.95
371,-4.75
372,-2.6
373,4.3
374,2.4
375,2.2
376,-0.95
377,-1.5
378,1.3
379,0.0
380,-5.15
381,-2.0
382,-6.6
383,2.15
384,0.9
385,2.3
386,1.8
387,1.95
388,-4.45
389,0.6
390,-7.2
391,-2.35
392,-3.25
393,-9.35
394,-4.55
395,9.95
396,0.3
397,0.75
398,-4.7
399,7.6
400,-1.9
401,1.45
402,-4.05
403,14.0
404,-2.4
405,-3.6
406,2.4
407,-3.75
408,-1.4
409,-3.1
410,5.05
411,0.35
412,-0.6
413,0.6
414,-4.4
415,-0.5
416,-2.05
417,-4.9
418,2.4
419,-9.4
420,6.0
421,2.75
422,-4.55
423,-7.6
424,1.4
425,-4.65
426,-5.55
427,-0.25
428,3.05
429,-3.35
430,-3.7
431,-5.55
432,-3.95
433,3.95
434,-0.4
435,-5.0
436,-1.35
437,-3.35
438,-0.05
439,1.9
440,-3.2
441,-5.55
442,-0.4
443,3.0
444,-6.9
445,-0.3
446,-9.35
447,-1.45
448,-8.9
449,-1.1
450,-1.9
451,-1.9
452,8.95
453,4.35
454,-4.65
455,-1.5
456,-0.95
457,-7.75
458,6.1
459,-0.55
460,-5.2
461,-0.3
462,-6.35
463,-7.05
464,3.95
465,-7.15
466,-3.35
467,-0.2
468,-8.4
469,-4.8
470,-7.15
471,-4.5
472,2.0
473,-1.65
474,3.05
475,-4.4
476,-3.5
477,1.65
478,-1.65
479,3.05
480,-3.85
481,-0.9
482,2.5
